iter	Passed	Remaining
0	165	165300
1	167	83425
2	169	56177
3	170	42515
4	173	34544
5	175	29131
6	177	25244
7	179	22283
8	181	19954
9	182	18112
10	185	16638
11	187	15440
12	189	14416
13	191	13485
14	193	12689
15	194	11988
16	196	11355
17	197	10790
18	199	10303
19	201	9894
20	203	9477
21	204	9087
22	205	8732
23	206	8407
24	207	8102
25	208	7817
26	209	7555
27	210	7317
28	211	7094
29	213	6910
30	214	6718
31	216	6535
32	217	6366
33	218	6206
34	219	6048
35	220	5901
36	221	5758
37	222	5625
38	223	5499
39	224	5377
40	224	5262
41	226	5155
42	227	5063
43	228	4966
44	229	4874
45	230	4783
46	231	4697
47	232	4612
48	233	4532
49	234	4456
50	235	4381
51	236	4307
52	237	4237
53	237	4169
54	238	4104
55	239	4043
56	240	3984
57	242	3930
58	243	3879
59	244	3828
60	245	3779
61	246	3728
62	247	3679
63	248	3630
64	249	3582
65	250	3538
66	250	3495
67	251	3452
68	252	3410
69	253	3370
70	254	3330
71	255	3293
72	256	3258
73	257	3224
74	258	3188
75	259	3156
76	261	3130
77	262	3097
78	262	3064
79	263	3033
80	264	3003
81	265	2973
82	266	2939
83	267	2914
84	268	2886
85	269	2859
86	269	2832
87	270	2807
88	271	2784
89	272	2760
90	273	2736
91	274	2713
92	276	2692
93	277	2670
94	277	2646
95	278	2623
96	279	2601
97	280	2579
98	281	2557
99	281	2537
100	282	2517
101	283	2496
102	284	2476
103	285	2456
104	286	2440
105	287	2423
106	288	2405
107	289	2387
108	289	2369
109	290	2352
110	291	2335
111	292	2319
112	293	2302
113	294	2286
114	295	2270
115	296	2256
116	296	2240
117	297	2225
118	298	2212
119	299	2198
120	300	2185
121	301	2169
122	302	2156
123	303	2144
124	304	2134
125	305	2120
126	306	2106
127	307	2094
128	308	2081
129	309	2069
130	310	2059
131	311	2048
132	312	2036
133	313	2024
134	314	2012
135	314	2000
136	315	1989
137	316	1979
138	317	1968
139	318	1958
140	319	1949
141	320	1936
142	321	1925
143	322	1915
144	323	1905
145	324	1895
146	325	1885
147	325	1876
148	326	1867
149	327	1858
150	328	1847
151	329	1838
152	330	1828
153	331	1819
154	332	1812
155	333	1804
156	334	1796
157	335	1787
158	336	1779
159	337	1770
160	337	1760
161	338	1752
162	339	1744
163	340	1735
164	341	1726
165	341	1717
166	342	1709
167	343	1700
168	344	1692
169	345	1685
170	346	1678
171	347	1671
172	348	1666
173	349	1659
174	350	1652
175	351	1645
176	352	1639
177	353	1632
178	354	1625
179	355	1620
180	356	1613
181	357	1606
182	358	1599
183	359	1592
184	360	1587
185	361	1581
186	362	1576
187	363	1571
188	364	1566
189	366	1561
190	367	1556
191	368	1550
192	369	1544
193	370	1539
194	371	1533
195	372	1528
196	373	1521
197	374	1516
198	375	1513
199	377	1508
200	378	1504
201	379	1499
202	380	1495
203	382	1491
204	383	1488
205	386	1490
206	388	1486
207	389	1481
208	390	1477
209	391	1473
210	392	1468
211	393	1463
212	395	1459
213	395	1454
214	396	1449
215	397	1444
216	399	1440
217	400	1437
218	401	1433
219	402	1428
220	403	1423
221	404	1418
222	406	1415
223	407	1412
224	408	1407
225	410	1404
226	411	1400
227	413	1399
228	414	1394
229	415	1390
230	416	1385
231	417	1380
232	418	1377
233	419	1373
234	420	1369
235	422	1367
236	423	1364
237	425	1360
238	426	1357
239	427	1353
240	428	1350
241	430	1349
242	432	1346
243	433	1343
244	435	1340
245	436	1338
246	438	1335
247	439	1331
248	440	1328
249	441	1324
250	442	1320
251	443	1317
252	445	1316
253	447	1312
254	448	1309
255	450	1307
256	452	1307
257	453	1304
258	455	1303
259	456	1300
260	458	1296
261	459	1293
262	460	1290
263	462	1290
264	465	1290
265	466	1288
266	468	1286
267	469	1283
268	471	1280
269	472	1277
270	473	1273
271	474	1270
272	476	1267
273	477	1265
274	480	1267
275	483	1267
276	484	1265
277	485	1262
278	487	1259
279	488	1256
280	489	1253
281	491	1250
282	492	1247
283	493	1244
284	496	1244
285	498	1244
286	499	1241
287	502	1241
288	503	1238
289	504	1235
290	505	1232
291	507	1230
292	510	1230
293	514	1235
294	515	1232
295	516	1228
296	518	1226
297	519	1223
298	520	1220
299	521	1217
300	524	1217
301	526	1216
302	527	1213
303	528	1210
304	529	1207
305	531	1204
306	532	1201
307	533	1198
308	534	1195
309	535	1192
310	536	1189
311	539	1190
312	541	1188
313	542	1185
314	543	1182
315	545	1180
316	546	1177
317	547	1173
318	549	1172
319	550	1169
320	551	1166
321	553	1164
322	554	1162
323	555	1159
324	556	1156
325	558	1154
326	559	1151
327	560	1148
328	562	1146
329	563	1143
330	564	1140
331	565	1137
332	566	1134
333	568	1133
334	569	1131
335	571	1128
336	572	1126
337	573	1123
338	574	1120
339	575	1117
340	576	1114
341	577	1111
342	578	1108
343	579	1105
344	580	1102
345	582	1100
346	583	1098
347	584	1095
348	586	1093
349	587	1090
350	588	1087
351	589	1085
352	590	1081
353	591	1078
354	592	1076
355	593	1073
356	594	1070
357	595	1068
358	598	1068
359	599	1066
360	600	1063
361	601	1060
362	603	1058
363	604	1055
364	605	1053
365	606	1051
366	607	1048
367	609	1046
368	610	1043
369	611	1040
370	612	1038
371	613	1035
372	614	1033
373	615	1030
374	616	1027
375	617	1024
376	618	1021
377	619	1019
378	620	1016
379	621	1013
380	622	1010
381	623	1008
382	624	1005
383	625	1002
384	626	1000
385	627	997
386	628	995
387	629	993
388	630	990
389	631	987
390	632	984
391	633	982
392	634	979
393	634	976
394	636	974
395	637	972
396	638	969
397	639	966
398	640	964
399	641	961
400	642	959
401	643	957
402	644	954
403	645	952
404	646	949
405	647	946
406	647	944
407	648	941
408	649	939
409	650	936
410	651	933
411	652	931
412	653	928
413	654	925
414	655	923
415	657	922
416	658	920
417	659	918
418	660	915
419	661	913
420	662	911
421	663	908
422	664	905
423	665	903
424	666	901
425	667	898
426	667	896
427	668	893
428	669	891
429	670	888
430	671	886
431	672	884
432	673	882
433	674	879
434	675	877
435	676	875
436	677	872
437	678	870
438	678	867
439	679	864
440	680	862
441	681	860
442	682	857
443	683	855
444	683	852
445	684	850
446	685	848
447	687	846
448	688	844
449	689	842
450	690	840
451	691	838
452	692	836
453	693	833
454	694	831
455	694	829
456	695	826
457	696	824
458	697	821
459	698	819
460	699	817
461	700	815
462	701	813
463	702	811
464	703	809
465	704	807
466	705	805
467	706	803
468	707	800
469	708	798
470	708	796
471	709	794
472	710	791
473	711	789
474	712	787
475	713	784
476	713	782
477	714	780
478	715	778
479	716	776
480	717	774
481	719	772
482	720	770
483	721	768
484	721	766
485	722	764
486	723	762
487	724	760
488	725	758
489	726	755
490	727	753
491	728	751
492	728	749
493	729	747
494	730	745
495	731	743
496	732	741
497	733	739
498	734	737
499	735	735
500	736	733
501	736	731
502	737	728
503	738	726
504	739	724
505	740	722
506	741	720
507	742	718
508	743	716
509	744	715
510	745	713
511	746	711
512	747	709
513	748	708
514	749	706
515	750	704
516	751	702
517	752	700
518	753	698
519	754	696
520	755	694
521	756	692
522	756	690
523	757	688
524	758	686
525	759	684
526	760	682
527	761	680
528	762	679
529	763	677
530	764	675
531	765	673
532	766	671
533	767	669
534	768	667
535	769	665
536	770	663
537	770	662
538	771	660
539	772	658
540	773	656
541	774	654
542	775	652
543	776	650
544	777	649
545	778	647
546	779	645
547	780	643
548	781	642
549	782	640
550	783	638
551	784	636
552	785	634
553	786	633
554	787	631
555	788	629
556	789	627
557	789	625
558	791	624
559	792	622
560	793	620
561	794	618
562	795	617
563	796	615
564	796	613
565	798	611
566	798	610
567	799	608
568	801	607
569	802	605
570	803	603
571	804	601
572	805	599
573	806	598
574	807	596
575	808	595
576	809	593
577	810	591
578	811	590
579	812	588
580	813	586
581	814	584
582	815	583
583	815	581
584	816	579
585	817	577
586	818	575
587	819	574
588	820	572
589	822	571
590	823	569
591	824	567
592	824	566
593	825	564
594	826	562
595	827	560
596	828	559
597	829	557
598	830	555
599	830	553
600	832	552
601	833	550
602	834	549
603	834	547
604	835	545
605	836	544
606	837	542
607	839	541
608	840	539
609	841	537
610	842	536
611	843	534
612	844	532
613	845	531
614	846	530
615	847	528
616	848	526
617	849	525
618	850	523
619	851	521
620	852	520
621	853	518
622	854	517
623	855	515
624	856	513
625	857	512
626	858	510
627	859	509
628	860	507
629	861	505
630	862	504
631	863	502
632	864	500
633	864	499
634	865	497
635	866	496
636	867	494
637	868	492
638	870	491
639	870	489
640	872	488
641	873	486
642	874	485
643	875	483
644	876	482
645	877	480
646	878	479
647	879	477
648	880	476
649	882	474
650	883	473
651	884	472
652	885	470
653	886	468
654	887	467
655	888	465
656	889	464
657	890	463
658	891	461
659	892	459
660	893	458
661	894	456
662	896	455
663	897	454
664	898	452
665	900	451
666	901	449
667	902	448
668	903	446
669	904	445
670	905	443
671	906	442
672	906	440
673	908	439
674	909	437
675	910	436
676	911	434
677	912	433
678	913	431
679	914	430
680	915	429
681	916	427
682	917	425
683	918	424
684	919	422
685	920	421
686	921	419
687	922	418
688	923	416
689	924	415
690	926	414
691	927	412
692	928	411
693	930	410
694	931	408
